0,1,2,3,4,5,6,7,8,9,year,month,day,hour,minute,second
0.020933336,0.0059166662,0.01385,0.012733333,0.00785,0.009866667,0.00585,0.010516669,0.0060833334,0.032066666,0.0,0.0,0.03333333333333333,0.043478260869565216,0.0,0.0
0.019333333,0.0043666665,0.009216666,0.008816667,0.006333333,0.009716666,0.0031833334,0.009133334,0.0042499998,0.027283333,0.0,0.0,0.03333333333333333,0.08695652173913043,0.0,0.0
0.0202,0.00415,0.008716666,0.006483333,0.0052,0.0075,0.0034333335,0.0079333335,0.0039666668,0.024449999,0.0,0.0,0.03333333333333333,0.13043478260869565,0.0,0.0
0.02245,0.00735,0.015066666,0.0094,0.005516667,0.009666666,0.0056000003,0.0070833336,0.004033333,0.023866666,0.0,0.0,0.03333333333333333,0.17391304347826086,0.0,0.0
0.029283332,0.018833334,0.03268333,0.01865,0.008083333,0.018633334,0.0096166665,0.007983333,0.008383334,0.0254,0.0,0.0,0.03333333333333333,0.21739130434782608,0.0,0.0
0.05548333,0.052166667,0.08935001,0.0561,0.019133335,0.038783334,0.021,0.00945,0.020499999,0.034133334,0.0,0.0,0.03333333333333333,0.2608695652173913,0.0,0.0
0.07393334,0.07825,0.13705,0.08393333,0.040183336,0.051933333,0.036816668,0.017583333,0.041950002,0.052,0.0,0.0,0.03333333333333333,0.30434782608695654,0.0,0.0
0.057066668,0.08733333,0.10635,0.08353334,0.05943333,0.05835,0.053666666,0.030533334,0.06623333,0.06805,0.0,0.0,0.03333333333333333,0.34782608695652173,0.0,0.0
0.059383333,0.071683325,0.09128333,0.07915,0.0688,0.050950002,0.04831667,0.0381,0.06458333,0.06975,0.0,0.0,0.03333333333333333,0.391304347826087,0.0,0.0
0.06405,0.07231667,0.092083335,0.07711667,0.061,0.043516666,0.041666668,0.04103333,0.06038333,0.06553333,0.0,0.0,0.03333333333333333,0.43478260869565216,0.0,0.0
0.06903333,0.05685,0.089616664,0.07168333,0.051766668,0.037750002,0.028666666,0.04075,0.0549,0.06691667,0.0,0.0,0.03333333333333333,0.4782608695652174,0.0,0.0
0.06643333,0.048683334,0.0911,0.07368334,0.053966668,0.040283334,0.024050003,0.04696667,0.05903333,0.06876667,0.0,0.0,0.03333333333333333,0.5217391304347826,0.0,0.0
0.066983335,0.048966665,0.09436667,0.07541666,0.053649995,0.037133336,0.022616668,0.051500004,0.056950003,0.06638334,0.0,0.0,0.03333333333333333,0.5652173913043478,0.0,0.0
0.06893334,0.052449998,0.097200006,0.12721667,0.052216668,0.040033333,0.0224,0.05638333,0.058316667,0.0691,0.0,0.0,0.03333333333333333,0.6086956521739131,0.0,0.0
